TIME,Lat_GPS,Lon_GPS,Target_Lat,Target_Lon,Theta,Theta_Target,Theta_Err,VL,VR,V_Aktual,Dist_GPS,Dist_Travelled,ETA_GPS,WP,MODE
18:52.0,-7.048954,110.392967,-7.048953,110.393264,359.66,269.83,-89.83,0.13,0.1,0.12,32.84,1.3,285.05,0,1
18:52.2,-7.048954,110.392967,-7.048952,110.393264,359.51,269.58,-89.93,0.11,0.11,0.11,32.84,1.32,293.97,0,1
18:52.3,-7.048954,110.392967,-7.048952,110.393264,358.24,269.58,-88.66,0.11,0.14,0.13,32.84,1.34,261.31,0,1
18:52.6,-7.048954,110.392967,-7.048952,110.393264,356.83,269.58,-87.25,0.1,0.13,0.12,32.84,1.36,285.06,0,1
18:52.8,-7.048954,110.392967,-7.048952,110.393264,355.68,269.58,-86.1,0.1,0.14,0.12,32.84,1.38,276.68,0,1
18:53.0,-7.048954,110.392967,-7.048951,110.393264,355.52,269.33,-86.19,0.05,0.06,0.06,32.84,1.39,587.96,0,1
18:53.2,-7.048954,110.392967,-7.048938,110.393249,350.06,266.75,-83.31,0.01,0.24,0.12,31.2,1.48,255.38,0,1
18:53.3,-7.048954,110.392967,-7.048938,110.393249,341.51,266.57,-74.94,0.01,0.36,0.19,31.2,1.52,168.66,0,1
18:53.6,-7.048954,110.392967,-7.048938,110.393249,323.11,266.57,-56.53,0.01,0.74,0.38,31.2,1.58,82.77,0,1
18:53.8,-7.048954,110.392967,-7.048937,110.393249,307.52,266.31,-41.21,0.03,0.66,0.34,31.21,1.65,91.24,0,1
18:54.0,-7.048954,110.392967,-7.048937,110.393249,296.34,266.31,-30.03,0.06,0.73,0.39,31.21,1.72,79.12,0,1
18:54.2,-7.048954,110.392967,-7.048937,110.393249,276.81,266.31,-10.5,0.14,0.84,0.49,31.21,1.8,63.86,0,1
18:54.4,-7.048954,110.392967,-7.048937,110.393241,263.55,266.31,2.75,0.22,0.79,0.51,30.37,1.9,60,0,1
18:54.7,-7.048954,110.392967,-7.048937,110.393241,254.28,266.31,12.02,0.66,1.14,0.9,30.37,2.06,50,0,1
18:54.8,-7.048954,110.392967,-7.048938,110.393241,252.12,266.58,14.46,0.64,0.68,0.66,30.36,2.18,46.27,0,1
18:55.0,-7.048954,110.392967,-7.048938,110.393241,254.65,266.58,11.92,0.69,0.62,0.66,30.36,2.29,46.27,0,1
18:55.2,-7.048954,110.392967,-7.048938,110.393241,263.96,266.58,2.61,0.73,0.62,0.67,30.36,2.42,45.07,0,1
18:55.4,-7.048954,110.392967,-7.048938,110.393241,271.83,266.58,-5.25,0.77,0.61,0.69,30.36,2.54,43.93,0,1
18:55.7,-7.048954,110.392967,-7.048938,110.393234,278.63,266.4,-12.24,1,0.91,0.95,29.52,2.71,30.98,0,1
18:55.8,-7.048954,110.392967,-7.048937,110.393234,279.64,266.3,-13.34,0.64,0.65,0.64,29.53,2.83,45.97,0,1
18:56.1,-7.048954,110.392967,-7.048937,110.393234,278.84,266.3,-12.54,0.61,0.73,0.67,29.53,2.95,43.83,0,1
18:56.3,-7.048954,110.392967,-7.048937,110.393234,276.96,266.3,-10.65,0.61,0.71,0.66,29.53,3.07,44.75,0,1
18:56.4,-7.048954,110.392967,-7.048937,110.393234,274.11,266.3,-7.81,0.61,0.74,0.68,29.53,3.19,43.6,0,1
18:56.7,-7.048954,110.392967,-7.048937,110.393226,269.68,266.01,-3.67,0.71,0.96,0.84,28.69,3.34,34.25,0,1
18:56.9,-7.048954,110.392967,-7.048937,110.393226,266.92,266.01,-0.91,0.39,0.54,0.46,28.69,3.42,61.8,0,1
18:57.1,-7.048954,110.392967,-7.048937,110.393226,265.07,266.01,0.94,0.41,0.54,0.48,28.69,3.51,59.99,0,1
18:57.2,-7.048954,110.392967,-7.048937,110.393226,262.69,266.01,3.32,0.54,0.64,0.59,28.69,3.62,48.63,0,1
18:57.4,-7.048954,110.392967,-7.048938,110.393226,262.08,266.3,4.22,0.64,0.64,0.64,28.68,3.73,44.66,0,1
18:57.7,-7.048954,110.392967,-7.048938,110.393226,263.79,266.3,2.51,1.01,0.94,0.98,28.68,3.91,29.35,0,1
18:57.9,-7.048954,110.392967,-7.048938,110.393226,265.33,266.3,0.97,0.74,0.62,0.68,28.68,4.03,42.14,0,1
18:58.1,-7.048954,110.392967,-7.048938,110.393226,266.31,266.3,-0.01,0.75,0.68,0.71,28.68,4.16,40.28,0,1
18:58.3,-7.048954,110.392967,-7.048939,110.393218,267.9,266.59,-1.31,0.76,0.66,0.71,27.84,4.29,39.09,0,1
18:58.5,-7.048954,110.392967,-7.048939,110.393218,269.33,266.59,-2.74,0.66,0.61,0.64,27.84,4.4,43.82,0,1
18:58.7,-7.048954,110.392967,-7.048939,110.393218,270.02,266.59,-3.43,0.99,0.98,0.98,27.84,4.58,28.28,0,1
18:58.9,-7.048954,110.392967,-7.048939,110.393218,269.85,266.59,-3.26,0.64,0.64,0.64,27.84,4.69,43.58,0,1
18:59.1,-7.048954,110.392967,-7.048939,110.393218,269.61,266.59,-3.02,0.66,0.71,0.68,27.84,4.81,40.89,0,1
18:59.3,-7.048954,110.392967,-7.04894,110.393211,268.8,266.6,-2.2,0.66,0.67,0.67,26.99,4.93,40.48,0,1
18:59.5,-7.048954,110.392967,-7.04894,110.393211,267.58,266.8,-0.78,0.66,0.71,0.68,26.99,5.06,39.44,0,1
18:59.7,-7.048954,110.392967,-7.04894,110.393211,265.25,266.8,1.55,1,1.02,1.01,26.99,5.24,26.75,0,1
18:59.9,-7.048954,110.392967,-7.04894,110.393211,263.77,266.8,3.02,0.67,0.72,0.69,26.99,5.36,38.85,0,1
19:00.0,-7.048954,110.392967,-7.048941,110.393211,264.03,266.9,2.86,0.64,0.59,0.62,26.98,5.48,43.67,0,1
19:00.3,-7.048954,110.392967,-7.048941,110.393211,265.23,266.9,1.67,0.65,0.56,0.6,26.98,5.58,44.68,0,1
19:00.5,-7.048954,110.392967,-7.048941,110.393211,266.87,266.9,0.03,0.67,0.59,0.63,26.98,5.7,42.71,0,1
19:00.7,-7.048954,110.392967,-7.048941,110.393211,270.1,266.9,-3.21,0.91,0.73,0.82,26.98,5.85,32.89,0,1
19:00.8,-7.048954,110.392967,-7.048941,110.393211,272.05,266.9,-5.15,0.54,0.51,0.53,26.98,5.94,51.19,0,1
19:01.0,-7.048954,110.392967,-7.048941,110.393203,272.45,266.93,-5.52,0.61,0.59,0.6,26.14,6.05,43.54,0,1
19:01.3,-7.048954,110.392967,-7.048941,110.393203,271.81,266.93,-4.88,0.64,0.66,0.65,26.14,6.17,40.04,0,1
19:01.5,-7.048954,110.392967,-7.048941,110.393203,269.82,266.93,-2.89,0.64,0.7,0.67,26.14,6.29,39.21,0,1
19:01.7,-7.048954,110.392967,-7.048942,110.393196,266.91,266.94,0.03,0.73,0.89,0.81,25.29,6.43,31.23,0,1
19:01.9,-7.048954,110.392967,-7.048942,110.393196,265.04,266.94,1.9,0.57,0.61,0.59,25.29,6.54,43.13,0,1
19:02.1,-7.048954,110.392967,-7.048943,110.393196,264.54,267.05,2.51,0.59,0.64,0.61,25.29,6.65,41.4,0,1
19:02.3,-7.048954,110.392967,-7.048943,110.393196,264.9,267.05,2.15,0.7,0.66,0.68,25.29,6.77,37.35,0,1
19:02.5,-7.048954,110.392967,-7.048943,110.393196,265.53,267.05,1.52,0.73,0.64,0.68,25.29,6.89,36.96,0,1
19:02.7,-7.048954,110.392967,-7.048943,110.393196,267.72,267.05,-0.67,1.03,0.93,0.98,25.29,7.07,25.88,0,1
19:02.9,-7.048954,110.392967,-7.048943,110.393188,268.17,267.09,-1.07,0.66,0.57,0.61,24.44,7.18,39.79,0,1
19:03.1,-7.048954,110.392967,-7.048943,110.393188,268.05,267.09,-0.96,0.65,0.65,0.65,24.44,7.3,37.65,0,1
19:03.3,-7.048954,110.392967,-7.048943,110.393188,268.05,267.09,-0.96,0.53,0.56,0.54,24.44,7.39,44.89,0,1
19:03.5,-7.048954,110.392967,-7.048943,110.393188,267.82,267.09,-0.73,0.58,0.59,0.59,24.44,7.5,41.68,0,1
19:03.7,-7.048954,110.392967,-7.048944,110.393188,266.88,267.44,0.56,0.93,0.91,0.92,24.44,7.67,26.52,0,1
19:03.9,-7.048954,110.392967,-7.048944,110.393188,266.05,267.44,1.39,0.69,0.68,0.68,24.44,7.79,35.72,0,1
19:04.1,-7.048954,110.392967,-7.048944,110.393188,265.67,267.44,1.77,0.74,0.74,0.74,24.44,7.92,33.03,0,1
19:04.4,-7.048954,110.392967,-7.048944,110.393188,266.23,267.44,1.21,0.75,0.73,0.74,24.44,8.06,33.03,0,1
19:04.6,-7.048954,110.392967,-7.048944,110.393188,267.76,267.44,-0.32,0.77,0.69,0.73,24.44,8.19,33.34,0,1
19:04.7,-7.048954,110.392967,-7.048944,110.393188,270.63,267.44,-3.19,1.16,1.03,1.1,24.44,8.38,22.3,0,1
19:04.9,-7.048954,110.392967,-7.048947,110.39318,271.13,268.02,-3.1,0.75,0.69,0.72,23.59,8.51,32.64,0,1
19:05.1,-7.048954,110.392967,-7.048947,110.39318,270.8,268.02,-2.78,0.7,0.74,0.72,23.59,8.64,32.8,0,1
19:05.4,-7.048954,110.392967,-7.048948,110.39318,269.28,268.37,-0.91,0.71,0.75,0.73,23.58,8.77,32.48,0,1
19:05.6,-7.048954,110.392967,-7.048948,110.39318,267.75,268.37,0.62,0.71,0.8,0.75,23.58,8.91,31.43,0,1
19:05.8,-7.048954,110.392967,-7.048948,110.39318,265.7,268.37,2.67,1.05,1.12,1.09,23.58,9.1,21.72,0,1
19:06.0,-7.048954,110.392967,-7.048948,110.39318,265.2,268.37,3.17,0.74,0.77,0.76,23.58,9.24,31.14,0,1
19:06.2,-7.048954,110.392967,-7.048948,110.39318,265.82,268.37,2.55,0.77,0.71,0.74,23.58,9.37,32.02,0,1
19:06.4,-7.048954,110.392967,-7.048948,110.39318,267.16,268.37,1.21,0.75,0.71,0.73,23.58,9.51,32.17,0,1
19:06.6,-7.048954,110.392967,-7.048948,110.39318,268.7,268.37,-0.33,0.76,0.71,0.73,23.58,9.64,32.17,0,1
19:06.8,-7.048954,110.392967,-7.048948,110.39318,269.88,268.37,-1.51,1.1,1.01,1.05,23.58,9.83,22.37,0,1
19:07.0,-7.048954,110.392967,-7.048948,110.39318,269.52,268.37,-1.15,0.72,0.73,0.72,23.58,9.96,32.64,0,1
19:07.2,-7.048954,110.392967,-7.048948,110.39318,268.77,268.37,-0.4,0.68,0.72,0.7,23.58,10.08,33.61,0,1
19:07.4,-7.048954,110.392967,-7.048948,110.39318,267.53,268.37,0.84,0.48,0.56,0.52,23.58,10.18,45.35,0,1
19:07.6,-7.048954,110.392967,-7.048948,110.39318,266.68,268.37,1.69,0.45,0.51,0.48,23.58,10.26,49.32,0,1
19:07.8,-7.048954,110.392967,-7.048948,110.39318,266.38,268.37,1.99,0.89,0.87,0.88,23.58,10.42,26.92,0,1
19:08.0,-7.048954,110.392967,-7.048948,110.39318,267.06,268.37,1.31,0.71,0.66,0.68,23.58,10.54,34.47,0,1
19:08.2,-7.048954,110.392967,-7.048948,110.39318,267.86,268.37,0.51,0.68,0.61,0.65,23.58,10.66,36.52,0,1
19:08.4,-7.048954,110.392967,-7.048948,110.39318,269.65,268.37,-1.28,0.75,0.7,0.73,23.58,10.79,32.48,0,1
19:08.6,-7.048954,110.392967,-7.048954,110.393157,271.23,269.87,-1.37,0.73,0.66,0.69,21.05,10.92,30.3,0,1
19:08.8,-7.048954,110.392967,-7.048954,110.393157,271.9,269.87,-2.04,0.88,0.94,0.91,21.05,11.08,23.1,0,1
19:09.0,-7.048954,110.392967,-7.048954,110.393157,271.53,269.87,-1.66,0.57,0.61,0.59,21.05,11.19,35.68,0,1
19:09.2,-7.048954,110.392967,-7.048954,110.393157,270.49,269.87,-0.63,0.6,0.61,0.61,21.05,11.3,34.65,0,1
19:09.4,-7.048954,110.392967,-7.048955,110.393157,268.16,270.4,2.24,0.45,0.51,0.48,21.05,11.38,44.01,0,1
19:09.6,-7.048954,110.392967,-7.048955,110.393157,266.92,270.53,3.61,0.52,0.54,0.53,21.05,11.48,39.67,0,1
19:09.8,-7.048954,110.392967,-7.048956,110.393157,267.36,270.94,3.58,0.81,0.77,0.79,21.05,11.62,26.68,0,1
19:10.0,-7.048954,110.392967,-7.048956,110.39315,268.44,270.94,2.5,0.67,0.64,0.66,20.21,11.74,30.79,0,1
19:10.2,-7.048954,110.392967,-7.048956,110.39315,269.45,270.94,1.49,0.72,0.64,0.68,20.21,11.86,29.69,0,1
19:10.5,-7.048954,110.392967,-7.048956,110.39315,271.04,270.94,-0.11,0.76,0.69,0.73,20.21,11.99,27.83,0,1
19:10.7,-7.048954,110.392967,-7.048956,110.39315,271.96,270.94,-1.02,0.74,0.7,0.72,20.21,12.12,28.1,0,1
19:10.8,-7.048954,110.392967,-7.048957,110.39315,272.7,271.2,-1.49,1.02,0.97,0.99,20.21,12.3,20.31,0,1
19:11.0,-7.048954,110.392967,-7.048958,110.39315,272.78,271.34,-1.44,0.68,0.69,0.68,20.21,12.42,29.54,0,1
19:11.2,-7.048954,110.392967,-7.048958,110.39315,271.97,271.34,-0.64,0.66,0.68,0.67,20.21,12.54,30.16,0,1
19:11.5,-7.048954,110.392967,-7.048959,110.393142,269.97,271.8,1.84,0.69,0.75,0.72,19.37,12.67,26.81,0,1
19:11.7,-7.048954,110.392967,-7.048959,110.393142,268.59,271.8,3.21,0.68,0.75,0.72,19.37,12.8,27.07,0,1
19:11.9,-7.048954,110.392967,-7.048959,110.393142,267.92,271.8,3.88,1.03,1.03,1.03,19.37,12.99,18.88,0,1
19:12.1,-7.048954,110.392967,-7.048959,110.393142,268.97,271.8,2.84,0.71,0.67,0.69,19.37,13.11,28.03,0,1
19:12.2,-7.048954,110.392967,-7.048959,110.393142,270.17,271.8,1.64,0.71,0.6,0.66,19.37,13.23,29.52,0,1
19:12.5,-7.048954,110.392967,-7.048959,110.393142,272.73,271.8,-0.92,0.51,0.43,0.47,19.37,13.31,41.11,0,1
19:12.7,-7.048954,110.392967,-7.048959,110.393142,274.95,271.8,-3.15,0.6,0.5,0.55,19.37,13.41,35.12,0,1
19:12.9,-7.048954,110.392967,-7.048959,110.393142,275.83,271.8,-4.02,0.9,0.81,0.86,19.37,13.57,22.65,0,1
19:13.1,-7.048954,110.392967,-7.04896,110.393135,274.9,272.1,-2.79,0.64,0.68,0.66,18.53,13.69,28.09,0,1
19:13.3,-7.048954,110.392967,-7.04896,110.393135,273.85,272.1,-1.75,0.66,0.7,0.68,18.53,13.81,27.37,0,1
19:13.5,-7.048954,110.392967,-7.04896,110.393135,271.89,272.1,0.21,0.68,0.75,0.71,18.53,13.94,26.03,0,1
19:13.7,-7.048954,110.392967,-7.04896,110.393135,270.47,272.1,1.63,0.61,0.65,0.63,18.53,14.05,29.33,0,1
19:13.9,-7.048954,110.392967,-7.04896,110.393135,268.47,272.1,3.64,0.98,1,0.99,18.53,14.23,18.7,0,1
19:14.1,-7.048954,110.392967,-7.04896,110.393135,269,272.1,3.11,0.61,0.61,0.61,18.53,14.34,30.17,0,1
19:14.3,-7.048954,110.392967,-7.04896,110.393135,270.41,272.1,1.69,0.67,0.58,0.62,18.53,14.45,29.66,0,1
19:14.6,-7.048954,110.392967,-7.04896,110.393135,273.63,272.1,-1.53,0.71,0.59,0.65,18.53,14.57,28.7,0,1
19:14.8,-7.048954,110.392967,-7.04896,110.393135,276.2,272.1,-4.1,0.71,0.59,0.65,18.53,14.69,28.39,0,1
19:14.9,-7.048954,110.392967,-7.048961,110.393127,277.05,272.98,-4.07,1.03,0.93,0.98,17.7,14.86,18.11,0,1
19:15.1,-7.048954,110.392967,-7.048961,110.393127,277.39,272.98,-4.41,0.64,0.67,0.66,17.7,14.98,26.97,0,1
19:15.3,-7.048954,110.392967,-7.048961,110.393127,276.74,272.98,-3.76,0.64,0.63,0.63,17.7,15.09,28.01,0,1
19:15.6,-7.048954,110.392967,-7.048961,110.393127,275.42,272.98,-2.44,0.47,0.59,0.53,17.7,15.19,33.14,0,1
19:15.8,-7.048954,110.392967,-7.048961,110.393127,274.28,272.98,-1.3,0.61,0.61,0.61,17.7,15.3,28.81,0,1
19:15.9,-7.048954,110.392967,-7.048961,110.393127,273.16,272.98,-0.18,0.73,0.82,0.78,17.7,15.44,22.74,0,1
19:16.1,-7.048954,110.392967,-7.048961,110.393127,272.87,272.98,0.11,0.52,0.6,0.56,17.7,15.54,31.49,0,1
19:16.3,-7.048954,110.392967,-7.048961,110.393127,272.81,272.98,0.17,0.6,0.59,0.6,17.7,15.65,29.65,0,1
19:16.6,-7.048954,110.392967,-7.048961,110.393127,272.39,272.98,0.59,0.67,0.64,0.66,17.7,15.77,26.97,0,1
19:16.8,-7.048954,110.392967,-7.048961,110.393127,272.23,272.98,0.75,0.66,0.68,0.67,17.7,15.89,26.41,0,1
19:17.0,-7.048954,110.392967,-7.048961,110.393127,272.29,272.98,0.69,0.89,0.89,0.89,17.7,16.05,19.96,0,1
19:17.2,-7.048954,110.392967,-7.048961,110.393127,272.36,272.98,0.62,0.66,0.69,0.68,17.7,16.17,26.14,0,1
19:17.4,-7.048954,110.392967,-7.048961,110.393127,271.82,272.98,1.16,0.69,0.7,0.69,17.7,16.29,25.48,0,1
19:17.6,-7.048954,110.392967,-7.048961,110.393127,270.82,272.98,2.16,0.7,0.73,0.71,17.7,16.42,24.85,0,1
19:17.8,-7.048954,110.392967,-7.048963,110.393112,271.65,273.6,1.95,0.69,0.69,0.69,16.03,16.55,23.19,0,1
19:18.0,-7.048954,110.392967,-7.048963,110.393112,273.93,273.6,-0.33,1.15,1.01,1.08,16.03,16.74,14.86,0,1
19:18.2,-7.048954,110.392967,-7.048963,110.393112,275.9,273.6,-2.3,0.73,0.66,0.69,16.03,16.87,23.07,0,1
19:18.4,-7.048954,110.392967,-7.048963,110.393112,276.22,273.6,-2.61,0.67,0.61,0.64,16.03,16.98,25.09,0,1
19:18.7,-7.048954,110.392967,-7.048963,110.393112,276.22,273.6,-2.61,0.67,0.71,0.69,16.03,17.11,23.07,0,1
19:18.8,-7.048954,110.392967,-7.048964,110.393104,274.45,274.14,-0.31,0.67,0.71,0.69,15.2,17.23,21.99,0,1
19:19.0,-7.048954,110.392967,-7.048964,110.393104,272.14,274.14,2,0.9,1,0.95,15.2,17.4,16,0,1
19:19.2,-7.048954,110.392967,-7.048964,110.393104,271.74,274.32,2.59,0.67,0.7,0.68,15.2,17.52,22.22,0,1
19:19.4,-7.048954,110.392967,-7.048964,110.393104,272.16,274.32,2.16,0.64,0.56,0.6,15.2,17.63,25.32,0,1
19:19.7,-7.048954,110.392967,-7.048964,110.393104,273.5,274.32,0.82,0.61,0.58,0.6,15.2,17.74,25.46,0,1
19:19.8,-7.048954,110.392967,-7.048964,110.393104,275.25,274.32,-0.93,0.68,0.59,0.63,15.2,17.85,24.06,0,1
19:20.0,-7.048954,110.392967,-7.048964,110.393104,277.04,274.32,-2.72,1.03,0.85,0.94,15.2,18.02,16.19,0,1
19:20.2,-7.048954,110.392967,-7.048965,110.393096,278.49,275,-3.49,0.68,0.66,0.67,14.36,18.14,21.55,0,1
19:20.4,-7.048954,110.392967,-7.048965,110.393096,279.24,275,-4.24,0.63,0.63,0.63,14.36,18.26,22.86,0,1
19:20.7,-7.048954,110.392967,-7.048965,110.393096,279.01,275,-4.01,0.64,0.66,0.65,14.36,18.37,22.24,0,1
19:20.9,-7.048954,110.392967,-7.048965,110.393096,277.67,275,-2.67,0.64,0.68,0.66,14.36,18.49,21.77,0,1
19:21.1,-7.048954,110.392967,-7.048965,110.393096,274.33,275,0.67,0.91,1.02,0.96,14.36,18.66,14.91,0,1
19:21.2,-7.048954,110.392967,-7.048965,110.393089,272.18,275.92,3.74,0.63,0.71,0.67,13.53,18.78,20.29,0,1
19:21.4,-7.048954,110.392967,-7.048965,110.393089,271.26,275.92,4.66,0.68,0.68,0.68,13.53,18.91,19.78,0,1
19:21.7,-7.048954,110.392967,-7.048965,110.393089,271.41,275.92,4.51,0.68,0.66,0.67,13.53,19.03,20.08,0,1
19:21.9,-7.048954,110.392967,-7.048965,110.393089,272.46,275.92,3.46,0.71,0.61,0.66,13.53,19.15,20.51,0,1
19:22.1,-7.048954,110.392967,-7.048965,110.393089,274.21,275.92,1.72,1.08,0.92,1,13.53,19.33,13.51,0,1
19:22.3,-7.048954,110.392967,-7.048965,110.393089,276.35,275.92,-0.43,0.67,0.58,0.62,13.53,19.44,21.66,0,1
19:22.4,-7.048954,110.392967,-7.048965,110.393089,277.48,275.92,-1.56,0.68,0.59,0.64,13.53,19.55,21.3,0,1
19:22.7,-7.048954,110.392967,-7.048965,110.393089,278.48,275.92,-2.56,0.68,0.66,0.67,13.53,19.67,20.19,0,1
19:22.9,-7.048954,110.392967,-7.048965,110.393089,278.42,275.92,-2.5,0.71,0.68,0.69,13.53,19.8,19.58,0,1
19:23.1,-7.048954,110.392967,-7.048965,110.393081,276.82,276.29,-0.53,1.02,1.09,1.05,12.69,19.99,12.04,0,1
19:23.3,-7.048954,110.392967,-7.048965,110.393081,275.9,276.29,0.39,0.64,0.68,0.66,12.69,20.11,19.34,0,1
19:23.5,-7.048954,110.392967,-7.048965,110.393081,275.75,276.29,0.54,0.66,0.71,0.68,12.69,20.23,18.55,0,1
19:23.7,-7.048954,110.392967,-7.048965,110.393081,276.73,276.29,-0.44,0.73,0.69,0.71,12.69,20.36,17.91,0,1
19:23.9,-7.048954,110.392967,-7.048965,110.393081,277.82,276.29,-1.53,0.76,0.67,0.72,12.69,20.49,17.74,0,1
19:24.1,-7.048954,110.392967,-7.048965,110.393081,278.36,276.29,-2.07,1.05,1.03,1.04,12.69,20.67,12.2,0,1
19:24.3,-7.048954,110.392967,-7.048966,110.393074,277.4,276.29,-1.12,0.71,0.72,0.72,11.86,20.8,16.58,0,1
19:24.5,-7.048954,110.392967,-7.048966,110.393074,276.39,276.29,-0.1,0.69,0.76,0.73,11.86,20.93,16.34,0,1
